overall,team_x,name,position_x,school,id,position_y,team_y
115,Chicago Bears,Joel Iyiegbuniwe,LB,Western Kentucky,18674.0,[u'LB'],Chi
116,Dallas Cowboys,Dorance Armstrong,DE,Kansas,18675.0,"[u'DE', u'EDR']",Dal
117,Tampa Bay Buccaneers,Jordan Whitehead,S,Pittsburgh,18676.0,[u'S'],TB
118,Baltimore Ravens,Anthony Averett,CB,Alabama,18677.0,[u'CB'],Bal
119,Los Angeles Chargers,Kyzir White,S,West Virginia,18678.0,[u'LB'],LAC
120,Seattle Seahawks,Will Dissly,TE,Washington,18679.0,[u'TE'],Sea
121,Buffalo Bills,Taron Johnson,CB,Weber State,18680.0,[u'CB'],Buf
122,Baltimore Ravens,Kenny Young,LB,UCLA,18681.0,[u'LB'],Bal
123,Miami Dolphins,Durham Smythe,TE,Notre Dame,18682.0,[u'TE'],Mia
124,Kansas City Chiefs,Armani Watts,S,Texas A&M,18683.0,[u'S'],KC
125,Philadelphia Eagles,Avonte Maddox,CB,Pittsburgh,18684.0,[u'CB'],Phi
126,Atlanta Falcons,Ito Smith,RB,Southern Miss,18685.0,[u'RB'],Atl
128,San Francisco 49ers,Kentavius Street,DE,NC State,18687.0,"[u'DE', u'EDR']",SF
130,Philadelphia Eagles,Josh Sweat,DE,Florida State,18689.0,"[u'DE', u'EDR']",Phi
131,Miami Dolphins,Kalen Ballage,RB,Arizona State,18690.0,[u'RB'],Mia
132,Baltimore Ravens,Jaleel Scott,WR,New Mexico State,18691.0,[u'WR'],Bal
133,Green Bay Packers,J'Mon Moore,WR,Missouri,18692.0,[u'WR'],GB
134,Arizona Cardinals,Chase Edmonds,RB,Fordham,18693.0,[u'RB'],Ari
135,Los Angeles Rams,John Franklin-Myers,DE,Stephen F. Austin,18694.0,[u'DE'],LAR
136,Carolina Panthers,Marquis Haynes,DE,Ole Miss,18695.0,"[u'DE', u'EDR']",Car
137,Dallas Cowboys,Dalton Schultz,TE,Stanford,18696.0,[u'TE'],Dal
139,New York Giants,RJ McIntosh,DT,Miami (FL),18698.0,[u'DE'],NYG
140,Oakland Raiders,Maurice Hurst,DT,Michigan,18699.0,[u'DT'],Oak
141,Seattle Seahawks,Shaquem Griffin,LB,UCF,18700.0,[u'LB'],Sea
142,San Francisco 49ers,D.J. Reed,CB,Kansas State,18701.0,[u'CB'],SF
143,New England Patriots,Ja'Whaun Bentley,LB,Purdue,18702.0,[u'LB'],NE
144,Tampa Bay Buccaneers,Justin Watson,WR,Penn,18703.0,[u'WR'],TB
145,Chicago Bears,Bilal Nichols,DT,Delaware,18704.0,[u'DT'],Chi
146,Seattle Seahawks,Tre Flowers,S,Oklahoma State,18705.0,[u'CB'],Sea
147,Los Angeles Rams,Micah Kiser,LB,Virginia,18706.0,[u'LB'],LAR
148,Pittsburgh Steelers,Marcus Allen,S,Penn State,18707.0,[u'S'],Pit
150,Cleveland Browns,Genard Avery,LB,Memphis,18709.0,[u'LB'],Cle
151,Cincinnati Bengals,Davontae Harris,CB,Illinois State,18710.0,[u'CB'],Cin
152,Tennessee Titans,Dane Cruikshank,CB,Arizona,18711.0,[u'S'],Ten
154,Buffalo Bills,Siran Neal,CB,Jacksonville State,18713.0,[u'S'],Buf
156,Denver Broncos,Troy Fumagalli,TE,Wisconsin,18715.0,[u'TE'],Den
157,Minnesota Vikings,Tyler Conklin,TE,Central Michigan,18716.0,[u'TE'],Min
158,Cincinnati Bengals,Andrew Brown,DE,Virginia,18717.0,[u'DT'],Cin
159,Indianapolis Colts,Daurice Fountain,WR,Northern Iowa,18718.0,[u'WR'],Ind
160,Los Angeles Rams,Ogbonnia Okoronkwo,LB,Oklahoma,18719.0,"[u'LB', u'EDR']",LAR
161,Carolina Panthers,Jermaine Carter,LB,Maryland,18720.0,[u'LB'],Car
162,Baltimore Ravens,Jordan Lasley,WR,UCLA,18721.0,[u'WR'],Bal
163,Washington Redskins,Tim Settle,DT,Virginia Tech,18722.0,[u'DT'],Wsh
