id,name,position,team
14909,Kendall Wright,[u'WR'],Chi
15853,Vance McDonald,[u'TE'],SF
10546,Brian Robison,"[u'DE', u'EDR']",Min
15047,Malik Jackson,[u'DT'],Jax
17801,Eli Apple,[u'CB'],NYG
15839,Marquise Goodwin,[u'WR'],SF
15190,Duke Ihenacho,[u'S'],NYG
13311,Geno Atkins,[u'DT'],Cin
16750,Phillip Gaines,[u'CB'],KC
17448,Jaquiski Tartt,[u'S'],SF
17805,Corey Coleman,[u'WR'],Cle
17921,Wendell Smallwood,[u'RB'],Phi
13990,Nick Fairley,[u'DT'],NO
15089,Justin Bethel,[u'CB'],Ari
15231,Michael Thomas,[u'S'],Mia
14007,Lance Kendricks,[u'TE'],GB
16010,John Simon,"[u'LB', u'EDR']",Ind
16019,William Gholston,"[u'DE', u'EDR']",TB
16039,Jahleel Addae,[u'S'],LAC
17848,Kevin Byard,[u'S'],Ten
3530,Julius Peppers,"[u'DE', u'EDR']",Car
9594,Donte Whitner,[u'S'],Wsh
14018,Marcus Gilchrist,[u'S'],Hou
17322,Andre Hal,[u'S'],Hou
14816,Kai Forbath,[u'K'],Min
17162,Devon Kennard,[u'LB'],NYG
17258,Maurice Alexander,[u'S'],LAR
17624,Preston Smith,"[u'DE', u'EDR']",Wsh
14100,Dwayne Harris,[u'WR'],NYG
17708,Damarious Randall,[u'CB'],GB
17668,Nelson Agholor,[u'WR'],Phi
12430,Sean Smith,[u'CB'],Oak
14139,Buster Skrine,[u'CB'],NYJ
16773,Kony Ealy,"[u'DE', u'EDR']",NE
16798,Stephon Tuitt,[u'DE'],Pit
10770,Eric Weems,[u'WR'],Ten
10458,Darrelle Revis,[u'CB'],NYJ
14859,Michael Wilhoite,[u'LB'],Sea
17571,Bobby McCain,[u'CB'],Mia
18021,Neville Hewitt,[u'LB'],Mia
9610,Johnathan Joseph,[u'CB'],Hou
13103,Dannell Ellerbe,[u'LB'],NO
14010,Shareece Wright,[u'CB'],Buf
15874,J.J. Wilcox,[u'S'],TB
16030,Daimion Stafford,[u'S'],Pit
17891,De'Vondre Campbell,[u'LB'],Atl
14204,Julius Thomas,[u'TE'],Mia
15428,Jermaine Kearse,[u'WR'],Sea
11337,William Hayes,"[u'DE', u'EDR']",Mia
12436,Michael Johnson,"[u'DE', u'EDR']",Cin
15204,Garrett Celek,[u'TE'],SF
13975,Prince Amukamara,[u'CB'],Chi
16772,Kyle Van Noy,[u'LB'],NE
15887,Ryan Griffin,[u'TE'],Hou
17505,Jeremy Langford,[u'RB'],Chi
14648,Spencer Paysinger,[u'LB'],NYJ
16725,Sammy Watkins,[u'WR'],LAR
17134,Alfred Blue,[u'RB'],Hou
12432,Robert Ayers,"[u'DE', u'EDR']",TB
12690,Brice McCain,[u'CB'],Ten
17182,Albert Wilson,[u'WR'],KC
17724,Quinten Rollins,[u'CB'],GB
11128,Matt Moore,[u'QB'],Mia
4596,Robert Mathis,[u'LB'],Ind
17443,Kyle Emanuel,[u'LB'],LAC
17667,Josh Shaw,[u'CB'],Cin
17794,Jared Goff,[u'QB'],LAR
13228,Jermaine Gresham,[u'TE'],Ari
12703,Captain Munnerlyn,[u'CB'],Car
17638,Chris Conley,[u'WR'],KC
17671,Malcom Brown,[u'DT'],NE
17475,Clive Walford,[u'TE'],Oak
17690,Jesse James,[u'TE'],Pit
12424,Vontae Davis,[u'CB'],Ind
15799,Jarvis Jones,"[u'LB', u'EDR']",Ari
18105,Kerry Hyder,"[u'DE', u'EDR']",Det
10477,Alan Branch,[u'DT'],NE
11236,Chris Long,"[u'DE', u'EDR']",Phi
12449,Connor Barwin,"[u'LB', u'EDR']",LAR
12453,Brian Cushing,[u'LB'],Hou
13409,Marc Mariani,[u'WR'],Ten
15058,Blair Walsh,[u'K'],Sea
17390,Marcus Williams,[u'CB'],NYJ
