end,id,name,owner,position,salary,start
2018,17816,Robert Nkemdiche,Brett/Luke,DL,1,2016
2016,13984,Robert Quinn,,DL,,FA
2016,14894,Robert Turbin,Quinn,RB,2,FA
2018,15880,Robert Woods,Koci/Mueller,WR,3,2016
2018,17843,Roberto Aguayo,Mitch,K,1,2016
2016,15222,Rodney McLeod,Schex/Jeff,DB,1,FA
2016,14297,Ron Parker,Quinn,DB,2,2016
2016,14895,Ronnie Hillman,,RB,,FA
2016,14911,Rueben Randle,,WR,,FA
2016,14881,Russell Wilson,Trevor,QB,265,2016
2016,8664,Ryan Fitzpatrick,Keyon,QB,20,2015
2016,15887,Ryan Griffin,John/Zach,TE,2,FA
2016,14037,Ryan Mallett,,QB,,FA
2016,13204,Ryan Mathews,Daniel,RB,123,2016
2016,16727,Ryan Shazier,Keyon,LB,3,FA
2017,14876,Ryan Tannehill,Koci/Mueller,QB,110,2015
2016,13197,Sam Bradford,Patrick,QB,40,2016
2017,17562,Sammie Coates,Daniel,WR,3,2015
2016,16725,Sammy Watkins,Patrick,WR,19,2014
2016,14353,Scott Tolzien,Mitch,QB,10,FA
2016,13284,Sean Lee,Quinn,LB,15,2016
2016,13243,Sean Weatherspoon,,LB,,FA
2016,2148,Sebastian Janikowski,Schex/Jeff,K,4,FA
2016,17910,Seth DeValve,,TE,,FA
2016,17761,Seth Roberts,,WR,,FA
2016,14017,Shane Vereen,Patrick,RB,21,2016
2016,14518,Shaun Draughn,,RB,,FA
2016,4260,Shaun Hill,,QB,,FA
2016,15811,Sheldon Richardson,,DL,,FA
2016,15859,Sio Moore,,LB,,FA
2016,16020,Spencer Ware,Syed/Terence,RB,7,2016
2017,17676,Stefon Diggs,Brett/Luke,WR,3,2015
2017,9704,Stephen Gostkowski,Koci/Mueller,K,2,2015
2016,17588,Stephone Anthony,,LB,,FA
2018,17827,Sterling Shepard,Mitch,WR,17,2016
2016,14028,Stevan Ridley,,RB,,FA
2016,2622,Steve Smith Sr.,Brett/Luke,WR,5,2016
2016,11923,Steven Hauschka,Brett/Luke,K,3,2016
2016,13304,T.J. Ward,Keyon,DB,5,FA
2017,17678,T.J. Yeldon,Syed/Terence,RB,27,2015
2017,14924,T.Y. Hilton,John/Zach,WR,135,2015
2016,15070,Tahir Whitehead,Keyon,LB,1,FA
2016,17912,Tajae Sharpe,,WR,,FA
2018,15786,Tavon Austin,Quinn,WR,97,2016
2016,17177,Taylor Gabriel,James,WR,1,FA
2018,10453,Ted Ginn Jr.,Koci/Mueller,WR,18,2016
2016,16728,Teddy Bridgewater,Brett/Luke,QB,4,FA
2016,17159,Telvin Smith,Trevor,LB,1,2014
2016,16783,Terrance West,Patrick,RB,12,FA
2016,15878,Terrance Williams,Daniel,WR,3,FA
2018,14851,Terrelle Pryor,James,WR,25,2016
2017,17689,Tevin Coleman,John/Zach,RB,27,2015
2017,15994,Theo Riddick,Koci/Mueller,RB,1,2015
2018,8429,Thomas Davis,Schex/Jeff,LB,9,2016
2017,17739,Thomas Rawls,Brett/Luke,RB,185,2016
2016,11383,Tim Hightower,Trevor,RB,5,2016
2016,17222,TJ Carrie,,DB,,FA
2016,17192,TJ Jones,,WR,,FA
2017,17683,Todd Gurley,Keyon,RB,27,2015
2016,2330,Tom Brady,Trevor,QB,140,2015
2016,16943,Tom Savage,Daniel,QB,1,FA
2016,16195,Tony Jefferson,Keyon,DB,3,FA
